Episode,AvgNodeCount
100,248.833
200,324.667
300,373.333
400,408.667
500,435.667
600,453.333
700,464.833
800,470.333
900,475.333
1000,480.167
1100,484.833
1200,489.833
1300,493.667
1400,496.167
1500,497.833
1600,498.5
1700,500.833
1800,502.167
1900,503.5
2000,503.833
2100,504.833
2200,505.333
2300,506.667
2400,507
2500,507.333
2600,507.667
2700,507.833
2800,508
2900,508.333
3000,508.333
3100,508.333
3200,508.5
3300,508.5
3400,508.5
3500,508.833
3600,508.833
3700,509.167
3800,509.167
3900,509.167
4000,509.167
4100,509.167
4200,509.5
4300,509.5
4400,509.667
4500,509.667
4600,509.667
4700,509.667
4800,509.667
4900,509.667
5000,510
5100,510
5200,510
5300,510
5400,510
5500,510
5600,509.667
5700,509.833
5800,509.167
5900,508.167
6000,508.167
6100,508.167
6200,508.167
6300,508.167
6400,508.167
6500,508.167
6600,508.167
6700,508.167
6800,508.167
6900,508.167
7000,508.167
7100,508.167
7200,508.167
7300,508.167
7400,508.167
7500,508.167
7600,508.167
7700,508.167
7800,508.167
7900,508.167
8000,508.167
8100,508.167
8200,508.167
8300,508.167
8400,508.167
8500,508.167
8600,508.167
8700,508.167
8800,508.167
8900,508.167
9000,508
9100,507.833
9200,508.167
9300,507.833
9400,507.333
9500,507.333
9600,507.333
9700,507.333
9800,507.333
9900,507.333
10000,507.333
10100,507.333
10200,507.333
10300,507.333
10400,507.333
10500,507.333
10600,507.333
10700,507.333
10800,507.333
10900,507.333
11000,507.333
11100,507.333
11200,507.333
11300,507.333
11400,507.333
11500,507.333
11600,507.333
11700,507.333
11800,507.333
11900,507.333
12000,507.333
12100,507.333
12200,507.333
12300,507.333
12400,507.333
12500,507.333
12600,507.333
12700,507.333
12800,507.333
12900,507.333
13000,507.333
13100,507.333
13200,507.333
13300,507.333
13400,507.333
13500,507.333
13600,507.333
13700,507.333
13800,507.333
13900,507.333
14000,507.333
14100,507.333
14200,507.333
14300,507.333
14400,507.333
14500,507.333
14600,507.333
14700,507.333
14800,507.333
14900,507.333
15000,507.333
15100,507.333
15200,507.333
15300,507.333
15400,507.333
15500,507.333
15600,507.333
15700,507.333
15800,507.333
15900,507.333
16000,507.333
16100,507.333
16200,507.333
16300,507.333
16400,507.333
16500,507.333
16600,507.333
16700,507.333
16800,507.333
16900,507.333
17000,507.333
17100,507.333
17200,507.333
17300,507.333
17400,507.333
17500,507.333
17600,507.333
17700,507.333
17800,507.333
17900,507.333
18000,507.333
18100,507.333
18200,507.333
18300,507.333
18400,507.333
18500,507.333
18600,507.333
18700,507.333
18800,507.333
18900,507.333
19000,507.333
19100,507.333
19200,507.333
19300,507.333
19400,507.333
19500,507.333
19600,507.333
19700,507.333
19800,507.333
19900,507.333
20000,507.333
20100,507.333
20200,507.333
20300,507.333
20400,507.333
20500,507.333
20600,507.333
20700,507
20800,507.333
20900,507.333
21000,507.333
21100,507.333
21200,507.333
21300,507.333
21400,507.333
21500,507.333
21600,507.333
21700,507.333
21800,507.333
21900,507.333
22000,507.333
22100,507.333
22200,507.333
22300,507.333
22400,507.333
22500,507.333
22600,507.333
22700,507.167
22800,507.333
22900,507.333
23000,507.333
23100,507.333
23200,507.333
23300,507.333
23400,507.333
23500,507.333
23600,507.333
23700,507.333
23800,507.333
23900,507.333
24000,507.333
24100,507.333
24200,507.333
24300,507.167
24400,507.333
24500,507.333
24600,507.333
24700,507.333
24800,507.167
24900,507.333
25000,506.5
25100,507.333
25200,506.5
25300,507
25400,507.167
25500,507.167
25600,507
25700,507.167
25800,505.333
25900,506.667
26000,506
26100,506
26200,505
26300,505.333
26400,505
26500,504.667
26600,504.667
26700,504.667
26800,504.667
26900,504.667
27000,504.5
27100,504.667
27200,504.667
27300,504.667
27400,504.667
27500,504.667
27600,504.667
27700,504.667
27800,504.667
27900,504.667
28000,504.667
28100,504.5
28200,504.667
28300,504.667
28400,504.667
28500,504.667
28600,504.333
28700,504.5
28800,504.5
28900,504.333
29000,504.667
29100,504.167
29200,504
29300,503.667
29400,503.667
29500,503
29600,503.333
29700,503
29800,502.667
29900,502.667
30000,502.667
30100,502.667
30200,502.667
30300,502.667
30400,502.667
30500,502.667
30600,502.667
30700,502.667
30800,502.667
30900,502.667
31000,502.667
31100,502.667
31200,502.667
31300,502.667
31400,502.667
31500,502.667
31600,502.5
31700,502.667
31800,502.667
31900,502.667
32000,502.667
32100,502.667
32200,502.667
32300,502.667
32400,502.667
32500,502.667
32600,502.667
32700,502.667
32800,502.667
32900,502.667
33000,502.667
33100,502.667
33200,502.667
33300,502.667
33400,502.667
33500,502.667
33600,502.667
33700,502.667
33800,502.667
33900,502.667
34000,502.667
34100,502.667
34200,502.667
34300,502.667
34400,502.667
34500,502.667
34600,502.667
34700,502.667
34800,502.667
34900,502.333
35000,502.667
35100,502.333
35200,502.5
35300,502.667
35400,502.667
35500,502.667
35600,502.667
35700,502.5
35800,502.5
35900,502.667
36000,502.667
36100,502.5
36200,502.667
36300,502.5
36400,502.333
36500,502.667
36600,502.167
36700,502.667
36800,502.333
36900,502.5
37000,502.5
37100,502.5
37200,502.5
37300,502.667
37400,502.5
37500,502.5
37600,501.833
37700,501.5
37800,501.167
37900,501.333
38000,500
38100,500.5
38200,499
38300,498.833
38400,498.5
38500,498.333
38600,498.167
38700,498.167
38800,497.833
38900,497.5
39000,497.833
39100,498.167
39200,498.167
39300,498.167
39400,498.167
39500,497.833
39600,498
39700,497.833
39800,498
39900,498
40000,498
